dataset,sample_id,iteration,n_inclusion,n_exclusion,miou,dice
Bird,sample_000001,87,87,87,0.18073160889952553,0.30613495486577574
Bird,sample_000001,88,88,88,0.18215978239533384,0.30818132220034633
Bird,sample_000001,89,89,89,0.18100530648059165,0.30652750751813196
Bird,sample_000001,90,90,90,0.1802037845705968,0.3053774050320671
Bird,sample_000001,91,91,91,0.18153222424157697,0.3072827308761758
Bird,sample_000001,92,92,92,0.1822817170468592,0.3083558079577992
Bird,sample_000001,93,93,93,0.1823854494578524,0.30850421838577224
Bird,sample_000001,94,94,94,0.18172317210818945,0.30755624734682324
Bird,sample_000001,95,95,95,0.18189431370906958,0.3078013179338199
Bird,sample_000001,96,96,96,0.18051901293378014,0.30582991202346044
Bird,sample_000001,97,97,97,0.1812936405067525,0.30694085583831804
Bird,sample_000001,98,98,98,0.18121768698003038,0.3068319903731581
Bird,sample_000001,99,99,99,0.18072724242340066,0.3061286907422656
Bird,sample_000001,100,100,100,0.18062408784488151,0.30598069225335534
Bird,sample_000002,1,1,1,0.6474820143884892,0.7860262008733624
Bird,sample_000002,2,2,2,0.6408450704225352,0.7811158798283262
Bird,sample_000002,3,3,3,0.6363636363636364,0.7777777777777778
Bird,sample_000002,4,4,4,0.6616541353383458,0.7963800904977375
Bird,sample_000002,5,5,5,0.6382978723404256,0.7792207792207793
Bird,sample_000002,6,6,6,0.6388888888888888,0.7796610169491526
Bird,sample_000002,7,7,7,0.6158940397350994,0.7622950819672131
Bird,sample_000002,8,8,8,0.6114649681528662,0.758893280632411
Bird,sample_000002,9,9,9,0.5914634146341463,0.7432950191570882
Bird,sample_000002,10,10,10,0.5449438202247191,0.7054545454545454
Bird,sample_000002,11,11,11,0.5351351351351351,0.6971830985915493
Bird,sample_000002,12,12,12,0.08522727272727272,0.15706806282722513
Bird,sample_000002,13,13,13,0.07258064516129033,0.13533834586466165
Bird,sample_000002,14,14,14,0.05113636363636364,0.0972972972972973
Bird,sample_000002,15,15,15,0.2374429223744292,0.3837638376383764
Bird,sample_000002,16,16,16,0.02784431137724551,0.05418001747742499
Bird,sample_000002,17,17,17,0.025813692480359147,0.05032822757111598
Bird,sample_000002,18,18,18,0.022074531212912415,0.043195541105434276
Bird,sample_000002,19,19,19,0.019801980198019802,0.038834951456310676
Bird,sample_000002,20,20,20,0.017201834862385322,0.033821871476888386
Bird,sample_000002,21,21,21,0.01620745542949757,0.03189792663476874
Bird,sample_000002,22,22,22,0.013665715572908846,0.026962962962962963
Bird,sample_000002,23,23,23,0.014157621519584709,0.02791996277338297
Bird,sample_000002,24,24,24,0.012575177692728267,0.024838012958963283
Bird,sample_000002,25,25,25,0.013056296504281903,0.025776053215077605
Bird,sample_000002,26,26,26,0.012779991754844029,0.025237449118046134
Bird,sample_000002,27,27,27,0.01264274061990212,0.024969794603302457
Bird,sample_000002,28,28,28,0.01228960726689821,0.0242808128793877
Bird,sample_000002,29,29,29,0.012692780128292617,0.025067385444743934
Bird,sample_000002,30,30,30,0.01284175642087821,0.025357873210633947
Bird,sample_000002,31,31,31,0.012084199584199585,0.023879830530234947
Bird,sample_000002,32,32,32,0.011845624761176921,0.023413897280966767
Bird,sample_000002,33,33,33,0.012348957641747444,0.02439664218258132
Bird,sample_000002,34,34,34,0.012311358220810167,0.024323264025107885
Bird,sample_000002,35,35,35,0.012360446570972886,0.024419062623079954
Bird,sample_000002,36,36,36,0.012167996859871778,0.024043433298862462
Bird,sample_000002,37,37,37,0.011937199948099131,0.02359276830362867
Bird,sample_000002,38,38,38,0.011560693641618497,0.022857142857142857
Bird,sample_000002,39,39,39,0.011497189575881452,0.022733013387218996
Bird,sample_000002,40,40,40,0.011695906432748537,0.023121387283236993
Bird,sample_000002,41,41,41,0.011560693641618497,0.022857142857142857
Bird,sample_000002,42,42,42,0.011418421720375539,0.022579026593075764
Bird,sample_000002,43,43,43,0.011887465328226127,0.02349562720271505
Bird,sample_000002,44,44,44,0.011806375442739079,0.023337222870478413
Bird,sample_000002,45,45,45,0.012266593975739403,0.0242358960549347
Bird,sample_000002,46,46,46,0.012078915581801101,0.02386951332714494
Bird,sample_000002,47,47,47,0.012060967528164348,0.023834468308014667
Bird,sample_000002,48,48,48,0.011903204708960105,0.023526370217166494
Bird,sample_000002,49,49,49,0.012277388019427954,0.024256963881114223
Bird,sample_000002,50,50,50,0.01246063261673285,0.02461455233973492
Bird,sample_000002,51,51,51,0.012474297464016449,0.02464121310587598
Bird,sample_000002,52,52,52,0.011804384485666104,0.023333333333333334
Bird,sample_000002,53,53,53,0.01199420060630025,0.023704089606668404
Bird,sample_000002,54,54,54,0.013491948353402002,0.02662467792728314
Bird,sample_000002,55,55,55,0.013159756615253997,0.025977653631284917
Bird,sample_000002,56,56,56,0.013034337771548703,0.025733259546209187
Bird,sample_000002,57,57,57,0.012895991028875805,0.025463603653473568
Bird,sample_000002,58,58,58,0.01249485102293011,0.024681312720368862
Bird,sample_000002,59,59,59,0.012149532710280374,0.024007386888273315
Bird,sample_000002,60,60,60,0.012172284644194757,0.024051803885291396
Bird,sample_000002,61,61,61,0.012064165451411904,0.023840712601519518
Bird,sample_000002,62,62,62,0.012558012558012558,0.02480452952278242
Bird,sample_000002,63,63,63,0.012440838404327248,0.024575931614798985
Bird,sample_000002,64,64,64,0.012557385903321632,0.024803307107614348
Bird,sample_000002,65,65,65,0.012668573763792398,0.025020177562550445
Bird,sample_000002,66,66,66,0.012886240820285437,0.025444596443228454
