index,x,y,label,sufficiency,stderr,CI95_low,CI95_high,tag
35,378,99,1,-0.004414064929814431,0.017858403240571145,-0.039416535281333875,0.030588405421705017,redundant
36,156,359,0,-0.010475251407270361,0.01571663001043795,-0.04127984622772875,0.02032934341318802,redundant
37,215,232,1,-0.0013002702715491977,0.007996612323150609,-0.01697363042492439,0.014373089881825995,redundant
38,20,213,0,-0.006833126571476775,0.018114946079743236,-0.04233842088777352,0.02867216774481997,redundant
39,296,235,1,0.001078849924913383,0.01814737701581359,-0.03449000902608125,0.036647708875908014,redundant
40,176,120,0,0.009921073265185229,0.01944503860845502,-0.02819120240738661,0.04803334893775707,redundant
41,364,96,1,0.0010743802075963925,0.019438980501713957,-0.037026021575762964,0.03917478199095575,redundant
42,594,45,0,9.166471942176347e-06,0.003952145288132647,-0.007737038292797812,0.007755371236682164,redundant
43,228,215,1,-0.0010114501444351471,0.012670362117175682,-0.025845359894099484,0.023822459605229187,redundant
44,452,93,0,-0.008297779731716753,0.018163248194705633,-0.0438977461933398,0.027302186729906287,redundant
45,262,257,1,-0.00047309243858220386,0.01384512766470135,-0.027609542661396848,0.02666335778423244,redundant
46,254,378,0,-0.008609476609487613,0.014974961397975939,-0.037960400949520454,0.020741447730545225,redundant
47,214,230,1,0.0215734328859031,0.02384703288239989,-0.025166751563600685,0.06831361733540689,redundant
48,97,215,0,0.025848203217203596,0.021057977252153602,-0.01542543219701746,0.06712183863142465,redundant
49,176,232,1,0.005651195990054994,0.021159337911420006,-0.03582110631632822,0.04712349829643821,redundant
50,170,333,0,-0.030299414972828648,0.02295357696133929,-0.07528842581705365,0.014689595871396358,redundant
51,312,167,1,-0.00038488077029579795,0.008338534711947614,-0.016728408805713118,0.015958647265121525,redundant
52,497,31,0,-0.0035789311099759013,0.012777137823770855,-0.028622121244566773,0.021464259024614973,redundant
53,241,225,1,-0.021481881084355912,0.023548421940017793,-0.06763678808679079,0.02467302591807896,redundant
54,172,220,0,0.005589806895465491,0.01001177653062503,-0.014033275104559569,0.025212888895490553,redundant
55,351,89,1,-0.0028740445564817197,0.015150308396250999,-0.03256864901313367,0.026820559900170234,redundant
56,424,106,0,0.0026601928340013055,0.009178353757024789,-0.01532938052976728,0.02064976619776989,redundant
57,320,150,1,-0.007818668370162114,0.012239231265904647,-0.03180756165133522,0.016170224911010993,redundant
58,448,188,0,-0.002076450704818734,0.01317776718890193,-0.027904874395066517,0.023751972985429047,redundant
59,162,274,1,-0.006998329109216819,0.014693592103593167,-0.035797769632259425,0.02180111141382579,redundant
60,602,234,0,-0.01221801864987011,0.011957357116819192,-0.03565443859883573,0.011218401299095505,redundant
61,306,138,1,-0.007271332397478314,0.011667562369763199,-0.030139754642214182,0.015597089847257556,redundant
62,137,10,0,-0.0373619835569235,0.02015991031897899,-0.07687540778212232,0.0021514406682753145,redundant
63,342,106,1,0.002872579083363211,0.017210610413175835,-0.030860217326461423,0.03660537549318785,redundant
