step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
34,0.7765980362892151,-5.984143257141113,0.8751588672001299,0.021359385922551155,0.021359385922551155,0.8358273081563029,0.9105729111260614,-0.0012448430061340332,0.30336761474609375,-0.007021963596343994,-0.0030918268021196127,0.13414384424686432,-0.003525292966514826
35,0.7745623588562012,-6.232240200042725,0.8721078457051673,0.022262180224061012,0.022262180224061012,0.8324727506061044,0.9085785863181405,-0.002035677433013916,-0.24809694290161133,-0.00305098295211792,-0.002669367240741849,-0.018752463161945343,-0.003335569053888321
36,0.774177074432373,-6.302605628967285,0.8696366796894794,0.023018794134259224,0.023018794134259224,0.827943399287759,0.9058742186550846,-0.000385284423828125,-0.07036542892456055,-0.0024712085723876953,-0.0017557342071086168,-0.039397649466991425,-0.0029898248612880707
37,0.7696511745452881,-6.249986171722412,0.8656493283103123,0.02400795929133892,0.02400795929133892,0.8202843369831905,0.9012705546240883,-0.004525899887084961,0.05261945724487305,-0.003987312316894531,-0.0028638006187975407,-0.002590807154774666,-0.003388819983229041
38,0.7669895887374878,-6.150814533233643,0.8626828896460722,0.024899912998080254,0.024899912998080254,0.8081178677375571,0.8938774204457484,-0.002661585807800293,0.09917163848876953,-0.002966463565826416,-0.002782914787530899,0.03811417147517204,-0.0032198773697018623
39,0.7699822187423706,-6.287757396697998,0.8611937671977642,0.024861104786396027,0.024861104786396027,0.7971153729219295,0.8871053967179634,0.0029926300048828125,-0.13694286346435547,-0.001489102840423584,-0.00047269684728235006,-0.03190864250063896,-0.002527567557990551
40,0.7705121040344238,-6.094147682189941,0.8605997779745846,0.025055766105651855,0.025055766105651855,0.7838394337810828,0.8788228569649139,0.0005298852920532227,0.19360971450805664,-0.000594019889831543,-7.166399154812098e-05,0.05829870328307152,-0.001754148630425334
41,0.7709185481071472,-6.293656349182129,0.8635882728086769,0.02585463598370552,0.02585463598370552,0.7619737416936545,0.8649093044499355,0.00040644407272338867,-0.1995086669921875,0.0029885172843933105,0.00011957924289163202,-0.04482424259185791,0.000142917619086802
42,0.770033597946167,-6.409222602844238,0.8616381479186552,0.028600288555026054,0.028600288555026054,0.7308315558875597,0.8444860545806189,-0.0008849501609802246,-0.11556625366210938,-0.0019501447677612305,-0.00028223253320902586,-0.07312104851007462,-0.0006943073240108788
43,0.771914005279541,-6.107102394104004,0.8686701684523779,0.029172152280807495,0.029172152280807495,0.6809490061310088,0.8101959115325327,0.0018804073333740234,0.3021202087402344,0.007032036781311035,0.0005828234134241939,0.07697544991970062,0.0023962303530424833
44,0.741759717464447,-6.415492057800293,0.8695009823667214,0.03401671350002289,0.03401671350002289,0.6318025101696401,0.774361488270978,-0.030154287815093994,-0.30838966369628906,0.0008308291435241699,-0.011712021194398403,-0.07717059552669525,0.001770069939084351
45,0.7092072367668152,-6.017416477203369,0.8033670215802882,0.03932112082839012,0.03932112082839012,0.6053744884078893,0.754184762221134,-0.032552480697631836,0.39807558059692383,-0.06613397598266602,-0.02004820480942726,0.1129278689622879,-0.02539154887199402
46,0.7148590087890625,-6.413672924041748,0.8176779915172995,0.03865446895360947,0.03865446895360947,0.5939602520317178,0.7452635676136028,0.0056517720222473145,-0.3962564468383789,0.014310956001281738,-0.009768214076757431,-0.09074585139751434,-0.009510546922683716
47,0.7537163496017456,-6.200077056884766,0.8488679938888584,0.027227533981204033,0.027227533981204033,0.677018654672491,0.8074074224352711,0.038857340812683105,0.21359586715698242,0.031190037727355957,0.009682007133960724,0.030990835279226303,0.006769686471670866
48,0.7753711938858032,-6.255059242248535,0.8459931048799872,0.02505333162844181,0.02505333162844181,0.6816422756994562,0.8106864171405733,0.021654844284057617,-0.05498218536376953,-0.002874910831451416,0.014471142552793026,-0.0033983737230300903,0.002911847550421953
